677509,Lois,Walker,F,lois.walker@hotmail.com,168251,Denver,Manager,428945
940761,Brenda,Robinson,F,brenda.robinson@gmail.com,51063,Stonewall,Employee,677509
428945,Joe,Robinson,M,joe.robinson@gmail.com,50155,Michigantown,Director,null
408351,Diane,Evans,F,diane.evans@yahoo.com,180294,Hydetown,Trainee,940761
193819,Benjamin,Russell,M,benjamin.russell@charter.net,117642,Fremont,Manager,539712
499687,Patrick,Bailey,M,patrick.bailey@aol.com,72305,Macksburg,Employee,193819
539712,Nancy,Baker,F,nancy.baker@bp.com,98189,Atlanta,Director,null
380086,Carol,Murphy,F,carol.murphy@gmail.com,60918,Blanchester,Trainee,477616
477616,Frances,Young,F,frances.young@gmail.com,121587,Delmita,Employee,193819
477618,Francis,Young,F,france2.young@gmail.com,121587,Denver,Employee,193819
